animal_id,date_of_birth,name,datetime,monthyear,outcome_type,outcome_subtype,animal_type,sex_upon_outcome,age_upon_outcome,breed,color
A725630,2016-04-16,,2016-05-01T00:00:00-05:00,05-2016,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie Point/White
A725133,2015-09-26,Gus,2016-05-01T00:00:00-05:00,05-2016,Adoption,,Dog,Neutered Male,7 months,Australian Cattle Dog/Australian Shepherd,White/Tan
A719457,2014-08-20,Toby,2016-05-02T00:00:00-05:00,05-2016,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,White/Black
A715072,2009-04-25,Snow,2016-05-02T00:00:00-05:00,05-2016,Transfer,Partner,Dog,Spayed Female,7 years,American Bulldog Mix,White/Brown
A725579,2013-04-30,,2016-05-04T00:00:00-05:00,05-2016,Died,In Kennel,Cat,Intact Female,3 years,Domestic Shorthair Mix,White/Brown Tabby
A721406,2014-02-26,Lanie,2016-05-04T00:00:00-05:00,05-2016,Adoption,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Cream/White
A723885,2014-04-08,*Valentino,2016-05-04T00:00:00-05:00,05-2016,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black/White
A693269,2014-12-05,Denver,2016-05-04T00:00:00-05:00,05-2016,Adoption,,Dog,Neutered Male,1 year,Treeing Walker Coonhound/German Shepherd,Brown/Black
A725956,2006-05-05,Astrid,2016-05-05T00:00:00-05:00,05-2016,Return to Owner,,Dog,Spayed Female,10 years,Border Collie Mix,Black/White
A722147,2015-03-11,*Jack,2016-05-05T00:00:00-05:00,05-2016,Adoption,,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,Tan/White
A725709,2016-02-02,Snow,2016-05-06T00:00:00-05:00,05-2016,Return to Owner,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White
A725756,2016-02-23,Serenity,2016-05-06T00:00:00-05:00,05-2016,Adoption,,Cat,Spayed Female,2 months,Domestic Longhair Mix,Black
A725758,2016-02-09,,2016-05-06T00:00:00-05:00,05-2016,Adoption,,Cat,Neutered Male,2 months,Domestic Longhair Mix,Brown Tabby
A725759,2016-02-13,,2016-05-06T00:00:00-05:00,05-2016,Adoption,,Cat,Neutered Male,2 months,Domestic Longhair Mix,Brown Tabby
A725738,2016-03-02,,2016-05-06T00:00:00-05:00,05-2016,Adoption,,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Black/Tan
A725713,2014-05-02,Rylie,2016-05-07T00:00:00-05:00,05-2016,Adoption,,Dog,Neutered Male,2 years,German Shepherd/Great Pyrenees,Black/Brown
A725764,2015-09-02,*Anders,2016-05-07T00:00:00-05:00,05-2016,Adoption,,Dog,Neutered Male,8 months,Feist Mix,Buff
A725331,2004-05-07,*Baxter,2016-05-07T00:00:00-05:00,05-2016,Adoption,,Dog,Neutered Male,12 years,Beagle Mix,Tricolor
A726106,2010-05-06,Bear,2016-05-07T00:00:00-05:00,05-2016,Adoption,,Dog,Neutered Male,6 years,Miniature Schnauzer Mix,White
A725379,2013-04-28,*Rhett,2016-05-08T00:00:00-05:00,05-2016,Transfer,Partner,Dog,Neutered Male,3 years,Miniature Schnauzer Mix,Tan
A726189,2016-04-15,,2016-05-08T00:00:00-05:00,05-2016,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby
A726065,2015-11-24,*Sid,2016-05-09T00:00:00-05:00,05-2016,Adoption,,Dog,Neutered Male,5 months,Jack Russell Terrier Mix,Tricolor/White
A725728,2014-05-02,*Buttercup,2016-05-09T00:00:00-05:00,05-2016,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Calico
A726048,2014-11-05,*Sunnie,2016-05-09T00:00:00-05:00,05-2016,Transfer,Partner,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Black/White
A725985,2014-05-04,*Abby,2016-05-09T00:00:00-05:00,05-2016,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/White
A725115,2014-04-26,*Grimsby,2016-05-09T00:00:00-05:00,05-2016,Transfer,Partner,Dog,Neutered Male,2 years,Pointer Mix,White/Black
A722235,2012-03-13,Meridian,2016-05-09T00:00:00-05:00,05-2016,Transfer,Partner,Dog,Neutered Male,4 years,German Shepherd/Chow Chow,Sable
A724161,2012-04-13,*Hayden,2016-05-09T00:00:00-05:00,05-2016,Transfer,Partner,Dog,Spayed Female,4 years,Jack Russell Terrier/Beagle,White/Tan
A723945,2013-04-09,*Earl,2016-05-09T00:00:00-05:00,05-2016,Adoption,,Dog,Neutered Male,3 years,Labrador Retriever Mix,Red
A724077,2015-07-11,*Sandy,2016-05-09T00:00:00-05:00,05-2016,Adoption,,Dog,Spayed Female,9 months,Queensland Heeler Mix,Red
A724373,2010-04-16,Ruby,2016-05-11T00:00:00-05:00,05-2016,Transfer,Partner,Dog,Intact Female,6 years,Pekingese Mix,Buff
A726147,2009-05-07,,2016-05-11T00:00:00-05:00,05-2016,Transfer,Partner,Dog,Intact Female,7 years,Miniature Poodle,White
A726486,2016-03-11,Max,2016-05-12T00:00:00-05:00,05-2016,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White
A726238,2015-05-08,,2016-05-12T00:00:00-05:00,05-2016,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan
A717532,2012-12-11,Cooper,2016-05-12T00:00:00-05:00,05-2016,Transfer,Partner,Dog,Neutered Male,3 years,Labrador Retriever Mix,Yellow
A723013,2015-12-25,*Cody,2016-05-14T00:00:00-05:00,05-2016,Adoption,,Dog,Neutered Male,4 months,Boxer Mix,Brown/White
A722212,2010-03-12,*Maxwell,2016-05-14T00:00:00-05:00,05-2016,Adoption,,Cat,Neutered Male,6 years,Siamese Mix,Seal Point
A726381,2016-03-10,,2016-05-14T00:00:00-05:00,05-2016,Adoption,,Dog,Neutered Male,2 months,Australian Cattle Dog/Labrador Retriever,Blue/Tricolor
A726377,2016-03-10,,2016-05-14T00:00:00-05:00,05-2016,Adoption,,Dog,Spayed Female,2 months,Australian Cattle Dog,Blue/Black
A726322,2015-11-24,*Rubin,2016-05-14T00:00:00-05:00,05-2016,Adoption,,Dog,Neutered Male,5 months,Australian Cattle Dog/German Shepherd,Brown Brindle/White
A554047,2009-07-08,Mega,2016-05-14T00:00:00-05:00,05-2016,Return to Owner,,Dog,Neutered Male,6 years,Pit Bull Mix,Brown/White
A726447,2016-03-20,Piglet,2016-05-15T00:00:00-05:00,05-2016,Transfer,Partner,Dog,Intact Male,1 month,Yorkshire Terrier Mix,Black/Tan
A726376,2016-03-10,Milo,2016-05-15T00:00:00-05:00,05-2016,Adoption,,Dog,Neutered Male,2 months,Border Collie/Greyhound,Black/White
A726302,2012-05-09,*Alexander,2016-05-15T00:00:00-05:00,05-2016,Adoption,,Dog,Neutered Male,4 years,Siberian Husky Mix,Black/Brown
A725187,2016-03-11,Cypress,2016-05-15T00:00:00-05:00,05-2016,Adoption,Foster,Dog,Neutered Male,2 months,Catahoula Mix,Brown Merle/Tan
A724707,2015-04-20,Hercules,2016-05-15T00:00:00-05:00,05-2016,Adoption,,Dog,Intact Male,1 year,Labrador Retriever Mix,Tan/White
A726738,2014-05-14,,2016-05-18T00:00:00-05:00,05-2016,Adoption,,Dog,Spayed Female,2 years,Dachshund Longhair Mix,Black/White
A726585,2015-05-12,*Tom,2016-05-18T00:00:00-05:00,05-2016,Adoption,,Dog,Neutered Male,1 year,Miniature Pinscher Mix,Black/Tan
A726809,2015-11-30,,2016-05-18T00:00:00-05:00,05-2016,Adoption,,Dog,Spayed Female,5 months,Australian Cattle Dog Mix,Black/White
A715850,2012-11-11,Olaf,2016-05-18T00:00:00-05:00,05-2016,Adoption,,Dog,Neutered Male,3 years,Labrador Retriever Mix,Cream
A657016,2012-12-22,Trap,2016-05-19T00:00:00-05:00,05-2016,Died,Enroute,Dog,Intact Male,3 years,Pit Bull Mix,Black/White
A725708,2016-02-02,Dexter,2016-05-21T00:00:00-05:00,05-2016,Transfer,Partner,Dog,Neutered Male,3 months,Labrador Retriever Mix,White
A706822,2011-04-04,Bella,2016-05-21T00:00:00-05:00,05-2016,Transfer,Partner,Dog,Spayed Female,5 years,Pit Bull Mix,Brown
A721082,2013-02-20,*Mr. Barrow,2016-05-23T00:00:00-05:00,05-2016,Transfer,Partner,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby
A725785,2014-05-03,Zelda,2016-05-23T00:00:00-05:00,05-2016,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Torbie
A727256,2016-04-28,*Buffy,2016-05-23T00:00:00-05:00,05-2016,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico
A727257,2016-04-28,*Xander,2016-05-23T00:00:00-05:00,05-2016,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby
A727258,2016-04-28,*Willow,2016-05-23T00:00:00-05:00,05-2016,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie
A727259,2016-04-28,*Anya,2016-05-23T00:00:00-05:00,05-2016,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie
A727260,2016-04-28,*Angel,2016-05-23T00:00:00-05:00,05-2016,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A727261,2016-04-28,*Spike,2016-05-23T00:00:00-05:00,05-2016,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A726922,2014-05-16,Lily,2016-05-23T00:00:00-05:00,05-2016,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie
A727495,2014-05-22,Ike,2016-05-26T00:00:00-05:00,05-2016,Transfer,Partner,Dog,Intact Male,2 years,Lhasa Apso Mix,Tricolor
A554047,2009-07-08,Mega,2016-05-26T00:00:00-05:00,05-2016,Return to Owner,,Dog,Neutered Male,6 years,Pit Bull Mix,Brown/White
A727777,2016-05-13,,2016-05-28T00:00:00-05:00,05-2016,Died,In Kennel,Cat,Intact Female,2 weeks,Domestic Longhair Mix,Torbie
A726635,2016-04-10,,2016-05-29T00:00:00-05:00,05-2016,Died,In Kennel,Cat,Intact Male,1 month,Domestic Shorthair,Brown Tabby
A727968,2016-05-25,,2016-05-29T00:00:00-05:00,05-2016,Transfer,Partner,Cat,Unknown,4 days,Domestic Shorthair Mix,Black
A727969,2016-05-25,,2016-05-29T00:00:00-05:00,05-2016,Transfer,Partner,Cat,Unknown,4 days,Domestic Shorthair Mix,Cream Tabby
A727970,2016-05-25,,2016-05-29T00:00:00-05:00,05-2016,Transfer,Partner,Cat,Unknown,4 days,Domestic Shorthair Mix,Black/White
A727971,2016-05-25,,2016-05-29T00:00:00-05:00,05-2016,Transfer,Partner,Cat,Unknown,4 days,Domestic Shorthair Mix,Gray Tabby/White
A727729,2016-04-26,*Paisley,2016-05-29T00:00:00-05:00,05-2016,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black Tabby/White
A727730,2016-04-26,*Floral,2016-05-29T00:00:00-05:00,05-2016,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Medium Hair Mix,Black Tabby/White
A723641,2014-04-04,Walker,2016-05-29T00:00:00-05:00,05-2016,Return to Owner,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black
A728031,2016-05-26,,2016-05-30T00:00:00-05:00,05-2016,Transfer,Partner,Dog,Intact Male,4 days,Pit Bull Mix,Black
A728080,2016-05-15,,2016-05-30T00:00:00-05:00,05-2016,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby
A728062,2015-07-30,Snow,2016-05-31T00:00:00-05:00,05-2016,Transfer,Partner,Dog,Intact Female,10 months,Labrador Retriever Mix,Yellow
A727744,2014-05-26,*Lincoln,2016-05-31T00:00:00-05:00,05-2016,Transfer,Partner,Dog,Intact Male,2 years,Labrador Retriever Mix,Chocolate
A726604,2015-05-12,*Coda,2016-05-31T00:00:00-05:00,05-2016,Transfer,Partner,Dog,Intact Male,1 year,Jack Russell Terrier Mix,White/Brown
A727158,2014-05-18,Hope,2016-06-01T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Intact Female,2 years,Pit Bull Mix,White/Black
A728363,2016-05-19,,2016-06-03T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby
A728395,2012-06-03,Russel,2016-06-04T00:00:00-05:00,06-2016,Adoption,,Dog,Neutered Male,4 years,Cardigan Welsh Corgi/Jack Russell Terrier,Tan/White
A728581,2016-06-02,,2016-06-06T00:00:00-05:00,06-2016,Died,In Kennel,Dog,Intact Female,4 days,Pit Bull Mix,Black/White
A706178,2014-06-26,Kilo,2016-06-06T00:00:00-05:00,06-2016,Return to Owner,,Dog,Neutered Male,1 year,Pointer Mix,Brown/White
A706181,2014-06-26,Lola,2016-06-06T00:00:00-05:00,06-2016,Return to Owner,,Dog,Spayed Female,1 year,Pit Bull Mix,Brown/White
A684284,2008-07-24,Spot,2016-06-06T00:00:00-05:00,06-2016,Adoption,,Dog,Neutered Male,7 years,Australian Cattle Dog Mix,Black/White
A728500,2004-06-05,,2016-06-07T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Spayed Female,12 years,Domestic Shorthair Mix,Brown Tabby
A727574,2012-05-23,Rolo,2016-06-08T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Neutered Male,4 years,Pit Bull/Labrador Retriever,Black/White
A726944,2006-05-16,*Sweet Pea,2016-06-08T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Intact Female,10 years,Labrador Retriever Mix,Black
A723868,2015-04-08,Ginger,2016-06-08T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Spayed Female,1 year,Black Mouth Cur Mix,Red
A726788,2010-05-14,*Chewy,2016-06-09T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Intact Male,6 years,Pit Bull Mix,White/Blue
A728510,2016-03-21,Panchita,2016-06-09T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Intact Female,2 months,Catahoula Mix,White/Brown Brindle
A728511,2016-03-21,Cookie,2016-06-09T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Intact Female,2 months,Catahoula Mix,White/Brown Brindle
A552971,2009-07-14,Sally,2016-06-09T00:00:00-05:00,06-2016,Return to Owner,,Dog,Spayed Female,6 years,Labrador Retriever Mix,Black
A728717,2016-04-22,,2016-06-10T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Intact Male,1 month,Australian Cattle Dog Mix,Brown
A728718,2016-04-22,,2016-06-10T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Intact Female,1 month,Australian Cattle Dog Mix,Brown
A728704,2016-03-23,,2016-06-11T00:00:00-05:00,06-2016,Adoption,,Dog,Neutered Male,2 months,Black Mouth Cur Mix,Sable/White
A728962,2016-05-27,,2016-06-11T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Medium Hair Mix,Tortie
A728518,2016-03-21,*Violet,2016-06-11T00:00:00-05:00,06-2016,Adoption,,Dog,Spayed Female,2 months,Anatol Shepherd/Labrador Retriever,Tan/White
A728806,2016-04-09,,2016-06-12T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Intact Male,2 months,Australian Cattle Dog Mix,White/Brown
A726297,2012-05-09,Bella,2016-06-12T00:00:00-05:00,06-2016,Adoption,,Dog,Spayed Female,4 years,Beagle Mix,Black/Tan
A726690,2012-05-13,Ice,2016-06-13T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Intact Female,4 years,Pit Bull Mix,White/Blue
A725690,2013-05-01,Lucky,2016-06-13T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Neutered Male,3 years,Labrador Retriever/Pit Bull,Chocolate
A712804,2013-09-28,Choco,2016-06-14T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White
A728972,2015-06-11,*Reggie,2016-06-20T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Neutered Male,1 year,Boston Terrier Mix,Black/White
A729314,2010-01-16,Emma,2016-06-20T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Black/Brown
A729315,2010-01-16,Abby,2016-06-20T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Tricolor
A729515,2004-06-19,Oreo,2016-06-20T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Neutered Male,12 years,Domestic Shorthair Mix,Black/White
A728259,2012-06-01,Aces,2016-06-20T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Neutered Male,4 years,Miniature Pinscher Mix,Brown
A720940,2015-02-18,Justin,2016-06-20T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White
A723269,2006-03-29,Coco,2016-06-20T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Spayed Female,10 years,Rat Terrier Mix,Blue Merle/White
A639730,2006-06-13,Leo,2016-06-21T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Neutered Male,10 years,Belgian Tervuren/German Shepherd,Brown/Black
A729220,2016-06-02,,2016-06-22T00:00:00-05:00,06-2016,Return to Owner,,Dog,Intact Female,2 weeks,Pit Bull Mix,Fawn/White
A729221,2016-06-02,,2016-06-22T00:00:00-05:00,06-2016,Return to Owner,,Dog,Intact Female,2 weeks,Pit Bull Mix,Brown/White
A729222,2016-06-02,,2016-06-22T00:00:00-05:00,06-2016,Return to Owner,,Dog,Intact Female,2 weeks,Pit Bull Mix,Blue/White
A729223,2016-06-02,,2016-06-22T00:00:00-05:00,06-2016,Return to Owner,,Dog,Intact Male,2 weeks,Pit Bull Mix,Blue/White
A729224,2016-06-02,,2016-06-22T00:00:00-05:00,06-2016,Return to Owner,,Dog,Intact Male,2 weeks,Pit Bull Mix,Black/White
A729225,2016-06-02,,2016-06-22T00:00:00-05:00,06-2016,Return to Owner,,Dog,Intact Male,2 weeks,Pit Bull Mix,Black/White
A729226,2016-06-02,,2016-06-22T00:00:00-05:00,06-2016,Return to Owner,,Dog,Intact Male,2 weeks,Pit Bull Mix,Black/White
A729227,2016-06-02,,2016-06-22T00:00:00-05:00,06-2016,Return to Owner,,Dog,Intact Male,2 weeks,Pit Bull Mix,Brown/White
A728057,2015-12-01,Sammy,2016-06-23T00:00:00-05:00,06-2016,Return to Owner,,Dog,Spayed Female,6 months,Labrador Retriever Mix,Black/White
A729408,2004-06-21,Hailey,2016-06-24T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Intact Female,12 years,Chihuahua Shorthair Mix,Brown
A729619,2016-05-14,*Pickle,2016-06-24T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
A729620,2016-05-14,*Apricot,2016-06-24T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie
A729621,2016-05-14,*Peach,2016-06-24T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Intact Female,1 month,Domestic Longhair Mix,Brown Tabby
A728819,2016-01-09,Glenn,2016-06-26T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Intact Male,5 months,Cardigan Welsh Corgi Mix,White/Brown
A728820,2016-01-09,Maggie,2016-06-26T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Intact Female,5 months,Cardigan Welsh Corgi Mix,Brown
A729530,2015-06-19,*Tina,2016-06-26T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
A729531,2016-05-10,,2016-06-26T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
A729532,2016-05-10,,2016-06-26T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue/White
A729533,2016-05-10,,2016-06-26T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
A729203,2012-06-15,*Lana,2016-06-26T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Spayed Female,4 years,Labrador Retriever Mix,Black
A729922,2016-04-25,,2016-06-26T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Intact Female,2 months,Great Dane Mix,White
A729924,2016-04-25,Lemon,2016-06-26T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Intact Female,2 months,Great Dane Mix,Black
A721115,2015-02-21,Cloud Burst,2016-06-26T00:00:00-05:00,06-2016,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico
A729397,2016-04-04,,2016-06-27T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby
A729400,2016-04-02,,2016-06-27T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A729401,2016-04-02,,2016-06-27T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
A729267,2016-04-15,*Merry,2016-06-27T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A729268,2016-04-15,*Jolly,2016-06-27T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Brown Tabby
A729270,2016-04-15,*Happy,2016-06-27T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A729022,2016-03-28,*Dew,2016-06-27T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A729023,2016-03-28,*Spring,2016-06-27T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A729016,2016-04-05,,2016-06-27T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A729017,2016-04-05,,2016-06-27T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A729020,2016-03-28,*Misty,2016-06-27T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black Smoke/White
A729095,2016-04-13,,2016-06-27T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
A729096,2016-04-13,,2016-06-27T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Black
A729712,2015-06-22,*Doug,2016-06-27T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Intact Male,1 year,Queensland Heeler Mix,White/Blue Tick
A728184,2016-04-16,*Bea,2016-06-27T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
A729755,2016-02-23,*Caramel,2016-06-28T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Neutered Male,4 months,Chihuahua Shorthair Mix,Sable
A730000,2016-04-17,Sade,2016-06-28T00:00:00-05:00,06-2016,Return to Owner,,Dog,Intact Female,2 months,Chihuahua Shorthair Mix,Brown Brindle/White
A729980,2015-06-26,Lola,2016-06-28T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Intact Female,1 year,Miniature Schnauzer Mix,Black
A729981,2015-06-26,Peluchin,2016-06-28T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,White/Tan
A729686,2015-10-22,*Pele,2016-06-28T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Spayed Female,8 months,Chihuahua Shorthair Mix,Sable
A729578,2011-06-20,*Chloe,2016-06-28T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Spayed Female,5 years,Miniature Poodle Mix,White
A729250,2016-04-15,*Trinity,2016-06-28T00:00:00-05:00,06-2016,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A729258,2015-06-15,*Loki,2016-06-28T00:00:00-05:00,06-2016,Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan
A724814,2015-04-22,*Oaxaca,2016-06-28T00:00:00-05:00,06-2016,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black
A729214,2016-04-14,,2016-06-29T00:00:00-05:00,06-2016,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
A728485,2014-06-04,Poppy,2016-06-29T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black
A728482,2014-06-04,,2016-06-29T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black
A728483,2014-06-04,,2016-06-29T00:00:00-05:00,06-2016,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black
A726369,2016-04-18,,2016-07-01T00:00:00-05:00,07-2016,Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Calico
A726408,2016-04-10,*Cannoli,2016-07-01T00:00:00-05:00,07-2016,Missing,In Kennel,Cat,Intact Female,2 months,Siamese Mix,Calico Point
A727119,2016-04-15,*Victoria,2016-07-01T00:00:00-05:00,07-2016,Missing,In Kennel,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A730108,2016-04-13,,2016-07-01T00:00:00-05:00,07-2016,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A729638,2013-06-21,,2016-07-01T00:00:00-05:00,07-2016,Adoption,,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Tan
A718446,2010-12-30,Moo Dog,2016-07-01T00:00:00-05:00,07-2016,Transfer,Partner,Dog,Neutered Male,5 years,Chihuahua Longhair Mix,White/Black
A730019,2015-12-27,,2016-07-02T00:00:00-05:00,07-2016,Adoption,,Dog,Spayed Female,6 months,German Shepherd Mix,Black/Tan
A647489,2012-02-11,Odessa,2016-07-03T00:00:00-05:00,07-2016,Return to Owner,,Dog,Spayed Female,4 years,Labrador Retriever/Pit Bull,Red
A730306,2016-02-05,,2016-07-05T00:00:00-05:00,07-2016,Transfer,Partner,Dog,Intact Female,4 months,Jack Russell Terrier/Dachshund,Brown/White
A730313,2015-07-01,*Sam,2016-07-05T00:00:00-05:00,07-2016,Transfer,Partner,Dog,Intact Male,1 year,Miniature Poodle Mix,Tan
A730314,2015-07-01,*Woody,2016-07-05T00:00:00-05:00,07-2016,Transfer,Partner,Dog,Intact Male,1 year,Miniature Poodle Mix,Tan
A729429,2015-06-18,*Lacy,2016-07-05T00:00:00-05:00,07-2016,Transfer,Partner,Dog,Intact Female,1 year,Boxer Mix,Brown Brindle/White
A730087,2015-06-28,*Royce,2016-07-06T00:00:00-05:00,07-2016,Transfer,Partner,Dog,Intact Male,1 year,Labrador Retriever Mix,Black
A730123,2015-08-28,*Felix,2016-07-06T00:00:00-05:00,07-2016,Transfer,Partner,Dog,Neutered Male,10 months,Chihuahua Shorthair,Tan/White
A730029,2016-04-12,*Buttercup,2016-07-06T00:00:00-05:00,07-2016,Transfer,Partner,Dog,Intact Female,2 months,German Shepherd Mix,Sable
