animal_id,name,datetime,datetime2,found_location,intake_type,intake_condition,animal_type,sex_upon_intake,age_upon_intake,breed,color
A665459,Beau,2013-10-18T11:28:00.000,2013-10-18T11:28:00.000,Canterbury Trails Subdivision in Austin (TX),Stray,Normal,Dog,Neutered Male,5 months,Australian Cattle Dog/Anatol Shepherd,White/Tan
A665467,,2013-10-18T11:49:00.000,2013-10-18T11:49:00.000,5305 Bolm Road #1 in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,White/Blue
A665468,*Steve,2013-10-18T11:49:00.000,2013-10-18T11:49:00.000,5305 Bolm Road #1 in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,White/Blue
A665469,*Meek,2013-10-18T11:49:00.000,2013-10-18T11:49:00.000,5305 Bolm Road #1 in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,White/Blue
A665470,*Bert,2013-10-18T11:49:00.000,2013-10-18T11:49:00.000,5305 Bolm Road #1 in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,White/Blue
A665471,*Ernie,2013-10-18T11:49:00.000,2013-10-18T11:49:00.000,5305 Bolm Road #1 in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,White/Blue
A665473,*Izzy,2013-10-18T11:50:00.000,2013-10-18T11:50:00.000,7806 W Rodgers Ln in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Torbie
A665181,Sasha,2013-10-18T12:06:00.000,2013-10-18T12:06:00.000,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,3 years,Maine Coon Mix,Torbie/White
A665182,Lorelei,2013-10-18T12:06:00.000,2013-10-18T12:06:00.000,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,3 years,Maine Coon Mix,Torbie/White
A665465,Tito,2013-10-18T12:35:00.000,2013-10-18T12:35:00.000,12331 N Mopac in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,German Shepherd Mix,White
A665466,Dora,2013-10-18T12:35:00.000,2013-10-18T12:35:00.000,12331 N Mopac in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,German Shepherd Mix,Black/Tan
A665346,Thor,2013-10-18T12:43:00.000,2013-10-18T12:43:00.000,Austin (TX),Public Assist,Normal,Dog,Intact Male,3 months,Pit Bull/Chihuahua Shorthair,Tan
A665472,Samson,2013-10-18T13:04:00.000,2013-10-18T13:04:00.000,William Cannon And Manchaca in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Longhair Mix,Black Smoke
