0
animal_type_Bird
animal_type_Cat
animal_type_Dog
animal_type_Livestock
animal_type_Other
breed_Abyssinian
breed_Abyssinian Mix
breed_Affenpinscher Mix
breed_Afghan Hound/Labrador Retriever
breed_Airedale Terrier Mix
breed_Airedale Terrier/Irish Terrier
breed_Airedale Terrier/Labrador Retriever
breed_Airedale Terrier/Otterhound
breed_Akbash Mix
breed_Akita
breed_Akita Mix
breed_Akita/Australian Cattle Dog
breed_Akita/Border Collie
breed_Akita/German Shepherd
breed_Akita/Great Pyrenees
breed_Akita/Labrador Retriever
breed_Akita/Pit Bull
breed_Alaskan Husky
breed_Alaskan Husky Mix
breed_Alaskan Husky/Australian Shepherd
breed_Alaskan Husky/Border Collie
breed_Alaskan Husky/Chow Chow
breed_Alaskan Husky/German Shepherd
breed_Alaskan Husky/Labrador Retriever
breed_Alaskan Malamute
breed_Alaskan Malamute Mix
breed_Alaskan Malamute/Border Collie
breed_Alaskan Malamute/Labrador Retriever
breed_American
breed_American Bulldog
breed_American Bulldog Mix
breed_American Bulldog/American Pit Bull Terrier
breed_American Bulldog/American Staffordshire Terrier
breed_American Bulldog/Australian Cattle Dog
breed_American Bulldog/Basset Hound
breed_American Bulldog/Blue Lacy
breed_American Bulldog/Boxer
breed_American Bulldog/Dalmatian
breed_American Bulldog/Labrador Retriever
breed_American Bulldog/Mastiff
breed_American Bulldog/Pit Bull
breed_American Bulldog/Plott Hound
breed_American Bulldog/Pointer
breed_American Bulldog/Queensland Heeler
breed_American Curl Shorthair
breed_American Curl Shorthair Mix
breed_American Eskimo
breed_American Eskimo Mix
breed_American Foxhound
breed_American Foxhound Mix
breed_American Foxhound/Beagle
breed_American Foxhound/Labrador Retriever
breed_American Mix
breed_American Pit Bull Terrier
breed_American Pit Bull Terrier Mix
breed_American Pit Bull Terrier/Alaskan Husky
breed_American Pit Bull Terrier/American Pit Bull Terrier
breed_American Pit Bull Terrier/Basenji
breed_American Pit Bull Terrier/Basset Hound
breed_American Pit Bull Terrier/Black Mouth Cur
breed_American Pit Bull Terrier/Boxer
breed_American Pit Bull Terrier/Labrador Retriever
breed_American Pit Bull Terrier/Pit Bull
breed_American Shorthair
breed_American Shorthair Mix
breed_American Staffordshire Terrier
breed_American Staffordshire Terrier Mix
breed_American Staffordshire Terrier/American Bulldog
breed_American Staffordshire Terrier/Australian Cattle Dog
